ticker,quelle,jahre,roic,umsatz_cagr,eps_cagr,ek_cagr,fcf_cagr
4519.T,Yahoo,4.0,23.0,-0.0,5.0,12.5,16.8
TMV.DE,Yahoo,4.0,25.1,9.7,26.6,12.7,5.1
VRSK,SEC,11.0,16.6,3.6,8.0,-13.8,10.0
6981.T,Yahoo,4.0,8.5,2.8,-0.3,4.8,29.3
CSU.TO,Yahoo,4.0,10.9,20.6,-0.0,27.8,28.5
STMPA.PA,Yahoo,4.0,12.5,-9.9,-66.4,12.0,
STMMI.MI,Yahoo,4.0,12.5,-9.9,-66.4,12.0,
BBAS3.SA,Yahoo,4.0,,6.1,-23.8,5.6,37.8
SNPS,SEC,11.0,9.3,13.2,38.5,24.6,11.8
HDFCLIFE.NS,Yahoo,4.0,7.8,9.3,11.4,11.0,48.7
CURA.TO,Yahoo,4.0,-0.1,-0.2,,-16.1,
7013.T,Yahoo,4.0,8.1,6.7,19.2,14.8,
KLAC,SEC,11.0,,40.5,7.8,24.9,17.9
5801.T,Yahoo,4.0,8.8,7.0,65.9,11.4,
SBSP3.SA,Yahoo,4.0,13.4,20.0,40.7,15.8,
WSP.TO,Yahoo,4.0,7.7,15.3,27.2,17.9,47.8
SGP.AX,Yahoo,4.0,4.1,8.5,30.8,1.7,40.9
PGHN.SW,Yahoo,4.0,29.1,10.7,7.2,-3.3,15.3
LVS,SEC,11.0,9.2,0.7,-0.2,-13.5,-5.8
6920.T,Yahoo,4.0,38.9,40.7,19.0,42.4,
REG.AX,Yahoo,4.0,14.3,80.2,,,55.5
SMCI,SEC,11.0,13.6,72.7,20.4,37.1,
REA.AX,Yahoo,4.0,30.1,13.0,15.8,9.0,21.1
WDC,SEC,11.0,5.7,19.9,,-2.3,9.6
AIXA.DE,Yahoo,4.0,11.7,6.3,-5.1,11.1,189.1
VST,SEC,7.0,2.2,7.3,28.2,-7.2,-8.3
5802.T,Yahoo,4.0,9.4,8.5,101.7,13.0,36.0
CIEN,SEC,11.0,9.4,6.4,23.9,16.0,12.8
FSV.TO,Yahoo,4.0,9.9,13.6,5.2,14.9,124.1
8801.T,Yahoo,4.0,4.7,6.1,13.4,4.1,
IT,SEC,11.0,19.0,7.3,16.7,,14.1
OGC.TO,Yahoo,4.0,13.5,25.1,70.8,10.7,83.9
CTSH,SEC,11.0,10.7,3.9,20.8,4.9,3.3
RSG.AX,Yahoo,4.0,13.1,10.0,,10.3,61.0
1803.T,Yahoo,4.0,2.8,2.1,41.2,4.7,
PPTA.TO,Yahoo,4.0,-15.1,,,115.7,
TRMB,SEC,11.0,6.0,2.1,34.6,10.1,4.1
BB.TO,Yahoo,4.0,-2.0,1.4,,-4.5,
1965.T,Yahoo,4.0,12.3,17.4,74.5,15.2,
HEI.DE,Yahoo,4.0,9.3,0.6,8.9,3.2,19.3
APE.AX,Yahoo,4.0,19.6,15.2,-9.9,15.5,25.0
EOS.AX,Yahoo,4.0,-9.7,-2.3,,1.1,
NRG,SEC,11.0,,20.7,,,40.3
ITC.NS,Yahoo,4.0,28.2,3.6,2.2,1.6,0.3
G24.DE,Yahoo,4.0,12.5,13.2,27.9,3.1,25.9
AFX.DE,Yahoo,4.0,11.2,5.4,-21.2,1.7,7.9
PTC,SEC,11.0,6.3,13.9,31.0,16.1,19.1
3659.T,Yahoo,4.0,12.0,10.3,0.1,7.2,0.5
RTO.L,Yahoo,4.0,5.3,15.4,10.0,3.5,12.3
AZO,SEC,11.0,,27.0,27.5,,3.3
LII,SEC,11.0,354.1,5.1,32.2,27.6,9.4
EFX,SEC,11.0,4.8,32.8,19.1,7.1,8.1
8802.T,Yahoo,4.0,4.8,8.2,13.1,7.6,
REL.L,Yahoo,4.0,23.5,3.9,9.8,-14.4,5.6
PDN.AX,Yahoo,4.0,1.2,704.7,,41.6,
ADYEN.AS,Yahoo,4.0,20.6,-33.3,22.8,29.8,-22.2
JBH.AX,Yahoo,4.0,33.0,4.7,-2.2,4.9,-1.6
LREN3.SA,Yahoo,4.0,11.5,6.1,6.1,1.2,66.9
UHS,SEC,11.0,10.2,30.1,29.5,5.5,2.8
TSLA,SEC,11.0,-0.9,64.1,,54.1,
1802.T,Yahoo,4.0,9.2,9.2,32.0,8.1,-1.2
WIPRO.NS,Yahoo,4.0,14.8,0.8,6.7,4.3,4.9
4751.T,Yahoo,4.0,15.6,7.1,9.2,8.0,
TOM.OL,Yahoo,4.0,11.4,4.4,-2.2,-1.3,16.0
AMAT,SEC,11.0,27.5,43.3,40.9,10.4,19.6
IFX.DE,Yahoo,4.0,9.6,1.0,-22.8,4.5,-12.4
