ticker,name,land
6753.T,6753,Japan
6758.T,6758,Japan
6762.T,6762,Japan
6770.T,6770,Japan
6841.T,6841,Japan
6857.T,6857,Japan
6861.T,6861,Japan
6862.HK,Haidilao,Hongkong
6902.T,6902,Japan
6920.T,6920,Japan
6954.T,6954,Japan
6963.T,6963,Japan
6971.T,6971,Japan
6976.T,6976,Japan
6981.T,6981,Japan
6988.T,6988,Japan
7004.T,7004,Japan
7011.T,7011,Japan
7012.T,7012,Japan
7013.T,7013,Japan
7186.T,7186,Japan
7201.T,7201,Japan
7202.T,7202,Japan
7203.T,7203,Japan
7211.T,7211,Japan
7261.T,7261,Japan
7267.T,7267,Japan
7269.T,7269,Japan
7270.T,7270,Japan
7272.T,7272,Japan
7453.T,7453,Japan
7532.T,7532,Japan
7731.T,7731,Japan
7733.T,7733,Japan
7735.T,7735,Japan
7741.T,7741,Japan
7751.T,7751,Japan
7752.T,7752,Japan
7832.T,7832,Japan
7911.T,7911,Japan
7912.T,7912,Japan
7951.T,7951,Japan
7974.T,7974,Japan
8001.T,8001,Japan
8002.T,8002,Japan
8015.T,8015,Japan
8031.T,8031,Japan
8035.T,8035,Japan
8053.T,8053,Japan
8058.T,8058,Japan
8233.T,8233,Japan
8252.T,8252,Japan
8253.T,8253,Japan
8267.T,8267,Japan
8304.T,8304,Japan
8306.T,8306,Japan
8308.T,8308,Japan
8309.T,8309,Japan
8316.T,8316,Japan
8331.T,8331,Japan
8354.T,8354,Japan
8411.T,8411,Japan
8591.T,8591,Japan
8601.T,8601,Japan
8604.T,8604,Japan
8630.T,8630,Japan
8697.T,8697,Japan
8725.T,8725,Japan
8750.T,8750,Japan
8766.T,8766,Japan
8795.T,8795,Japan
8801.T,8801,Japan
8802.T,8802,Japan
8804.T,8804,Japan
8830.T,8830,Japan
8TRA.DE,Traton,Deutschland
9001.T,9001,Japan
9005.T,9005,Japan
9007.T,9007,Japan
9008.T,9008,Japan
9009.T,9009,Japan
9020.T,9020,Japan
9021.T,9021,Japan
9022.T,9022,Japan
9064.T,9064,Japan
9101.T,9101,Japan
9104.T,9104,Japan
9107.T,9107,Japan
9147.T,9147,Japan
9201.T,9201,Japan
9202.T,9202,Japan
9432.T,9432,Japan
9433.T,9433,Japan
9434.T,9434,Japan
9501.T,9501,Japan
9502.T,9502,Japan
9503.T,9503,Japan
9531.T,9531,Japan
9532.T,9532,Japan
9602.T,9602,Japan
9618.HK,JD.com,Hongkong
9633.HK,Nongfu Spring,Hongkong
9735.T,9735,Japan
9766.T,9766,Japan
9843.T,9843,Japan
9888.HK,Baidu,Hongkong
9961.HK,Trip.com Group,Hongkong
9983.T,9983,Japan
9984.T,9984,Japan
9988.HK,Alibaba Group,Hongkong
9992.HK,Pop Mart,Hongkong
9999.HK,NetEase,Hongkong
A2M.AX,a2 Milk Company,Australien
AAF.L,Airtel Africa,Grossbritannien
AAI.AX,Alcoa,Australien
AAL.L,Anglo American plc,Grossbritannien
AAUC.TO,Allied Gold Corporation,Kanada
AAV.TO,Advantage Energy Ltd.,Kanada
ABBN.SW,ABB Ltd,Schweiz
ABDN.L,Aberdeen Group,Grossbritannien
ABEV3.SA,Ambev,Brasilien
ABF.L,Associated British Foods,Grossbritannien
ABI-BR,Anheuser-Busch InBev,Europa
ABN.AS,ABN AMRO,Niederlande
ABRA.TO,AbraSilver Resource Corp.,Kanada
ABX.TO,Barrick Gold Corporation,Kanada
AC.PA,Accor,Frankreich
AC.TO,Air Canada,Kanada
ACA.PA,Crédit Agricole,Frankreich
ACO.TO,ATCO Ltd.,Kanada
ACS.MC,ACS,Spanien
ACX.MC,Acerinox,Spanien
AD-AS,Ahold Delhaize,Europa
AD.AS,Ahold Delhaize,Niederlande
ADANIENT.NS,Adani Enterprises,Indien
ADANIPORTS.NS,Adani Ports & SEZ,Indien
ADM.L,Admiral Group,Grossbritannien
ADS-DE,Adidas,Europa
ADS.DE,Adidas,Deutschland
ADYEN-AS,Adyen,Europa
ADYEN.AS,Adyen,Niederlande
AEM.TO,Agnico Eagle Mines Limited,Kanada
AENA.MC,AENA,Spanien
AFI.AX,Australian Foundation Investment Company,Australien
AFX.DE,Carl Zeiss Meditec,Deutschland
AG.TO,First Majestic Silver Corp.,Kanada
AGI.TO,Alamos Gold Inc.,Kanada
AGL.AX,AGL Energy,Australien
AGN.AS,Aegon,Niederlande
AI-PA,Air Liquide,Europa
AI.PA,Air Liquide,Frankreich
AIA.AX,Auckland International Airport Limited,Australien
AIF.TO,Altus Group Limited,Kanada
AIR-PA,Airbus,Europa
